Ranking,Country,GDP_Per_Capita,Life_Expectancy,Unemployment_Rate,Fertility_Rate,People_Per_KMsq,Percent_Population_Urban,Percent_Female_Labor,Percent_Electricity_Access,Air_Pollution_PPM
114,Myanmar,1249.828757,66.744,1.550999999,2.187,81.73972714,30.322,47.92100143,69.8148366,35.55745292
115,Senegal,1367.218948,67.477,6.436999798,4.695,80.08819924,46.74,35.10300064,61.7,40.6958259
116,Zambia,1534.865371,62.255,7.205999851,4.925,22.67139456,42.976,70.73300171,40.3,27.43803476
117,Iraq,5143.661232,70.038,7.890999794,4.309,86.5016316,70.278,12.25,100,61.63623571
118,Gabon,7212.535744,66.48,19.37400055,3.72,8.013439671,88.976,43.04899979,92.19120026,44.38554846
119,Ethiopia,768.0104163,65.874,1.809999943,4.081,106.400024,20.31,74.10700226,44.3,38.97873776
120,Sri Lanka,4104.630983,75.485,4.179999828,2.032,341.9550311,18.384,34.95299911,97.54497528,11.09961724
121,Armenia,3914.501268,74.782,17.82699966,1.604,103.4355111,63.103,49.41999817,100,32.52811834
122,India,1981.499045,68.803,2.556999922,2.304,450.2432858,33.6,23.79599953,92.61865997,90.87321047
123,Mauritania,1161.785457,63.384,10.27600002,4.612,4.155015038,52.824,29.13100052,42.91231918,47.42299178
125,Georgia,4045.41705,73.436,13.93000031,1.986,65.22278596,58.231,57.73099899,100,22.19605462
127,Mali,828.6132202,58.456,9.43500042,5.968,15.17173063,41.572,61.37599945,43.08983994,38.52660616
129,Cambodia,1385.25998,69.331,1.062000036,2.53,90.69461817,22.98,75.13200378,89.07,25.61429187
130,Sudan,3015.02443,64.698,12.77299976,4.469,.,34.37,24.60000038,56.45154953,55.37083444
131,Ghana,2025.885857,63.033,6.629000187,3.926,127.9839633,55.407,63.73400116,79,34.7135141
132,Ukraine,2640.675677,71.78097561,9.510000229,1.374,77.38979613,69.246,46.93799973,100,20.30977582
133,Uganda,631.5227198,60.182,1.697999954,5.5,205.2786006,23.196,67.03700256,22,50.49432132
134,Burkina Faso,642.0404265,60.77,6.014999866,5.271,70.15089181,28.743,58.6269989,25.47374344,42.93559251
135,Niger,375.8694897,60.422,0.284999996,7.184,17.05413436,16.35,67.36499786,20.04190445,94.05381768
136,Malawi,356.7175732,63.671,5.467999935,4.505,187.4232075,16.714,72.81999969,12.7,23.56592147
137,Chad,664.3033157,53.208,2.198999882,5.846,11.92564565,22.858,64.71199799,10.87641621,66.0292055
138,Zimbabwe,1602.403507,61.712,4.94299984,3.682,36.80171901,32.237,78.38700104,40.42136765,22.25167109
139,Lesotho,1232.786919,54.568,23.61300087,3.044,68.88708827,27.73,59.76599884,33.73075867,28.02865352
140,Angola,4095.812942,61.809,7.138999939,5.623,23.91653806,64.839,75.4509964,41.88623047,32.38850491
141,Afghanistan,556.3021385,64.047,1.559000015,4.477,55.59599302,25.25,48.47399902,97.7,56.91080835
142,Botswana,7893.675933,67.618,17.63100052,2.683,3.89096748,68.7,65.83699799,62.82494736,23.09438618
143,Benin,827.4298101,61.171,2.180000067,4.906,99.10610145,46.768,69.01699829,43.07774734,38.99995876
144,Madagascar,448.4007965,66.312,1.66900003,4.129,43.95073909,36.522,83.49099731,24.07539177,22.54228288
145,Haiti,765.6139847,63.589,13.40499973,2.868,398.4893324,54.346,62.96300125,43.75256348,15.01982438
147,South Sudan,.,57.288,12.63899994,4.774,.,19.346,71.62599945,25.38207054,45.57750557
148,Liberia,698.7017644,63.006,2.028000116,4.513,48.81881229,50.697,54.65000153,21.48886871,17.98411246
149,Guinea,821.6514609,60.617,3.572000027,4.777,49.11093521,35.793,64.00099945,35.44121552,26.0624902
150,Togo,619.066371,60.477,1.657999992,4.384,141.5421033,41.162,76.28500366,48,35.73133561
151,Rwanda,762.4991636,67.496,0.953999996,3.809,485.648034,17.125,84.1780014,34.1,43.21021716
153,Tanzania,1004.841121,66.31,1.93900001,4.953,61.71134116,33.053,79.57700348,32.8133316,29.07664051
154,Burundi,293.009062,57.857,1.501000047,5.615,421.6130841,12.706,80.28600311,9.3,38.89626795
155,Central African Republic,471.6032278,52.89,6.447000027,4.796,7.377488844,40.98,64.79100037,29.9820385,56.82849738
